"student","school","time","female","ses","public","suspension","platform","math"
1712,194,2,1,5,1,0.06,0,49.5
1712,194,3,1,5,1,0.071,0,55.9
1763,77,0,1,6,0,0.006,1,57.8
1763,84,1,1,5,1,0.33,0,75.8
1763,84,2,1,8,1,0.39,0,79.5
1763,84,3,1,5,1,0.328,0,80.6
1773,714,0,0,4,1,0.028,1,35.8
1773,714,1,0,5,1,0.112,1,28.2
1773,714,2,0,5,1,0.175,1,56.7
1773,714,3,0,6,1,0.111,1,72.8
1781,178,0,1,4,1,0.009,0,48.6
1781,178,1,1,5,1,0.187,0,62.7
1781,178,2,1,2,1,0.142,0,52.3
1781,178,3,1,5,1,0.126,0,65.9
1816,1108,0,0,6,1,0.03,0,44.2
1816,1111,1,0,5,1,0.242,0,37.1
1816,1111,2,0,6,1,0.198,0,41.8
1816,1111,3,0,4,1,0.213,0,59.8
1821,99,0,0,4,0,0.003,1,94.7
1821,106,1,0,5,1,0.108,1,61.9
1821,106,2,0,5,1,0.073,1,66.7
1821,106,3,0,5,1,0.056,1,77
1873,1018,0,0,4,1,0.023,0,85.9
1873,1018,1,0,4,1,0.067,0,100.8
1873,1018,2,0,6,1,0.05,0,104
1873,1018,3,0,5,1,0.066,0,88.7
1911,1110,0,0,4,1,0.034,0,46.3
1911,1110,1,0,5,1,0.238,0,49.9
1911,1110,2,0,9,1,0.209,0,63.1
1911,1110,3,0,3,1,0.19,0,75.6
1914,81,0,1,5,1,0.112,0,39.4
1914,84,1,1,6,1,0.33,0,46.6
1914,84,2,1,5,1,0.39,0,49.5
1914,84,3,1,4,1,0.328,0,58.6
1952,704,0,0,2,0,0.006,0,29.4
1952,704,1,0,5,0,0.029,0,38.7
1952,704,2,0,6,0,0.047,0,41.1
1952,704,3,0,5,0,0.034,0,54.2
1956,194,0,0,6,1,0.004,0,40.7
1956,194,1,0,4,1,0.035,0,49.1
1956,194,2,0,5,1,0.06,0,57.6
1956,194,3,0,6,1,0.071,0,66.4
1967,100,0,1,4,0,0.004,1,65.9
1967,106,1,1,6,1,0.108,1,60.7
1967,106,2,1,6,1,0.073,1,77.9
1967,106,3,1,6,1,0.056,1,83.1
1983,586,0,1,5,1,0.017,0,62.3
1983,586,1,1,5,1,0.099,0,78.3
1983,586,2,1,4,1,0.132,0,70.4
1983,586,3,1,5,1,0.108,0,79.5
2009,98,0,1,8,0,0.005,1,59.1
2009,106,1,1,3,1,0.108,1,60.7
2009,106,2,1,4,1,0.073,1,67.9
2009,106,3,1,3,1,0.056,1,77
2038,898,0,1,5,1,0.083,1,53.9
2038,833,1,1,4,1,0.189,0,49.9
2038,833,2,1,4,1,0.228,0,69
2038,833,3,1,4,1,0.143,0,82
2047,133,0,1,4,1,0.005,1,45.5
2047,133,1,1,6,1,0.017,1,50.7
2047,133,2,1,5,1,0.035,1,56.7
2047,133,3,1,6,1,0.031,1,60.6
2064,99,0,0,5,0,0.003,1,57.8
2064,99,1,0,5,0,0.108,1,66
2064,99,2,0,5,0,0.073,1,69.9
2064,99,3,0,5,0,0.056,1,74.2
2065,1110,0,1,3,1,0.034,0,30.2
2065,1111,1,1,5,1,0.242,0,45.1
2065,1111,2,1,4,1,0.198,0,51.5
2065,1111,3,1,3,1,0.213,0,55
2066,515,0,0,3,0,0.036,1,41.4
2066,519,1,0,4,1,0.168,0,56.3
2066,519,2,0,5,1,0.189,0,60.7
2066,519,3,0,5,1,0.113,0,55.9
2106,98,0,1,5,0,0.005,1,52.7
2106,106,1,1,7,1,0.108,1,56.3
2106,106,2,1,4,1,0.073,1,63.1
2106,106,3,1,4,1,0.056,1,61.1
2114,212,0,1,7,0,0.003,1,74.7
2114,212,1,1,5,0,0.012,1,68.3
2114,212,2,1,5,0,0.025,1,69
2114,212,3,1,5,0,0.02,1,85.6
2117,236,0,1,4,1,0.002,1,62.3
2117,243,1,1,5,1,0.058,1,97.5
2117,243,2,1,5,1,0.019,1,76.3
2117,243,3,1,4,1,0.009,1,85.6
2122,387,0,0,4,0,0.087,1,57.8
2122,387,1,0,4,0,0.109,1,65.5
2122,388,2,0,4,1,0.176,0,65.9
2122,388,3,0,5,1,0.447,0,61.4
2154,133,0,0,4,1,0.005,1,43.5
2154,133,1,0,5,1,0.017,1,73.5
2154,133,2,0,6,1,0.035,1,52.6
2154,133,3,0,6,1,0.031,1,55
2190,1040,0,0,4,1,0.006,0,52.7
2190,1040,1,0,5,1,0.052,0,71.1
2190,1040,2,0,5,1,0.045,0,67.9
2190,1040,3,0,6,1,0.052,0,76.4
2222,258,0,1,5,0,0.003,1,63.9
2222,282,1,1,5,1,0.035,0,69.1
2222,282,2,1,7,1,0.06,0,74
2222,282,3,1,7,1,0.071,0,78.3
2267,77,0,1,6,0,0.006,1,44.2
2267,84,1,1,3,1,0.33,0,44.3
2267,84,2,1,5,1,0.39,0,45.9
2267,84,3,1,3,1,0.328,0,52.2
2320,1104,0,0,3,0,0.014,0,36.3
2320,1104,1,0,4,0,0.242,0,50.7
2320,1104,2,0,3,0,0.198,0,41.5
2320,1104,3,0,4,0,0.213,0,56.7
2357,103,0,1,5,1,0.007,0,67.8
2357,103,1,1,3,1,0.061,0,79.1
2357,103,2,1,6,1,0.032,0,84
2357,103,3,1,5,1,0.042,0,94.3
2360,1058,0,1,4,1,0.015,0,70.3
2360,1058,1,1,7,1,0.086,0,67.5
2360,1058,2,1,6,1,0.067,0,89.9
2360,1058,3,1,6,1,0.07,0,90.7
2394,77,0,1,4,0,0.006,1,25
2394,84,1,1,7,1,0.33,0,38.2
2394,84,2,1,3,1,0.39,0,47
2394,84,3,1,5,1,0.328,0,58.3
2396,1110,0,0,4,1,0.034,0,29.4
2396,1111,1,0,4,1,0.242,0,42.7
2396,1111,2,0,5,1,0.198,0,38.2
2396,1111,3,0,4,1,0.213,0,51.4
2420,1040,0,1,3,1,0.006,0,50.8
2420,1040,1,1,3,1,0.052,0,60.7
2420,1040,2,1,4,1,0.045,0,71.8
2420,1040,3,1,5,1,0.052,0,77
2468,660,0,0,5,1,0.006,0,53.9
2468,660,1,0,4,1,0.064,0,62.7
2468,660,2,0,6,1,0.089,0,71.8
2468,660,3,0,4,1,0.074,0,72.8
2497,100,0,1,6,0,0.004,1,63.9
2497,100,1,1,2,0,0.108,1,59.4
2497,100,2,1,6,0,0.073,1,65.9
2497,100,3,1,5,0,0.056,1,59.8
2521,1110,0,0,3,1,0.034,0,23
2521,1110,1,0,4,1,0.242,0,33
2521,1110,2,0,5,1,0.198,0,29.5
2521,1110,3,0,5,1,0.213,0,42.7
2528,1033,0,0,3,1,0.006,1,78.7
2528,1033,1,0,7,1,0.086,1,69.9
2528,1033,2,0,8,1,0.067,1,110.4
2528,1033,3,0,6,1,0.07,1,97.1
2531,1038,0,1,3,0,0.016,1,58.6
2531,1048,1,1,2,1,0.076,1,69.9
2531,1048,2,1,7,1,0.073,1,75.1
2531,1048,3,1,4,1,0.107,1,74.2
2565,1018,0,1,6,1,0.023,0,55.8
2565,1018,1,1,4,1,0.067,0,69.1
2565,1018,2,1,5,1,0.05,0,60.3
2565,1018,3,1,5,1,0.066,0,69.5
2576,714,0,1,1,1,0.028,1,39.4
2576,720,1,1,5,1,0.112,1,44.3
2576,720,2,1,6,1,0.119,1,38.2
2576,720,3,1,6,1,0.159,1,54.2
2598,666,0,0,4,1,0.017,0,26.6
2598,666,1,0,4,1,0.141,0,32.3
2598,666,2,0,3,1,0.2,0,39.5
2598,666,3,0,4,1,0.12,0,55
2602,1104,0,0,6,0,0.014,0,49.9
2602,1111,1,0,5,1,0.242,0,68.3
2602,1111,2,0,4,1,0.198,0,71.8
2602,1111,3,0,7,1,0.213,0,79.5
2612,387,0,0,3,0,0.087,1,27.1
2612,387,1,0,4,0,0.109,1,35.1
2612,388,2,0,4,1,0.176,0,35.1
2612,388,3,0,6,1,0.447,0,53.1
2653,1108,0,0,6,1,0.03,0,49.9
2653,1108,1,0,4,1,0.271,0,49.1
2653,1108,2,0,4,1,0.241,0,51.8
2653,1108,3,0,8,1,0.238,0,68.3
2695,194,0,1,5,1,0.004,0,59.1
2695,282,1,1,3,1,0.035,0,60.7
2695,282,2,1,6,1,0.06,0,57.9
2695,282,3,1,5,1,0.071,0,71.9
2702,1104,0,1,6,0,0.014,0,30.2
2702,1111,1,1,4,1,0.242,0,43.5
2702,1111,2,1,4,1,0.198,0,45.1
2702,1111,3,1,4,1,0.213,0,49.1
2707,506,0,1,5,1,0.026,0,47.2
2707,506,1,1,6,1,0.129,0,56.3
2707,506,2,1,5,1,0.127,0,57.9
2707,506,3,1,5,1,0.132,0,69.2
2712,1006,0,1,3,1,0.022,0,65.9
2712,1006,1,1,4,1,0.3,0,68.3
2712,1006,2,1,4,1,0.301,0,69
2712,1006,3,1,6,1,0.315,0,84.3
2737,666,0,1,7,1,0.017,0,71.4
2737,666,1,1,5,1,0.065,0,78.3
2737,666,2,1,5,1,0.12,0,86.8
2737,666,3,1,7,1,0.097,0,89.5
2755,963,0,1,6,0,0.155,0,30.7
2755,963,1,1,6,0,0.124,0,50.7
2755,963,2,1,5,0,0.175,0,50.3
2755,963,3,1,5,0,0.218,0,41.4
2807,236,0,1,4,1,0.002,1,25.5
2807,236,1,1,2,1,0.002,1,42.7
2807,236,2,1,4,1,0.021,1,41.8
2807,236,3,1,4,1,0.027,1,47.8
2809,1078,0,1,6,1,0.018,0,46.3
2809,1078,1,1,5,1,0.164,0,54.3
2809,1078,2,1,5,1,0.144,0,67.9
2809,1078,3,1,6,1,0.123,0,77
2835,101,0,1,4,0,0.004,1,63.9
2835,104,1,1,5,1,0.07,1,66
2835,104,2,1,6,1,0.066,1,69
2835,104,3,1,3,1,0.042,1,89.5
2919,77,0,1,5,0,0.006,1,45
2919,84,1,1,3,1,0.33,0,45.1
2919,84,2,1,6,1,0.39,0,63.1
2919,84,3,1,4,1,0.328,0,58.6
2961,515,0,0,8,0,0.036,1,44.2
2961,519,1,0,4,1,0.168,0,63
2961,519,2,0,6,1,0.189,0,65.9
2961,519,3,0,3,1,0.113,0,74.2
2964,1104,0,1,5,0,0.014,0,55.8
2964,1111,1,1,5,1,0.242,0,60.2
2964,1111,2,1,5,1,0.198,0,61.8
2964,1111,3,1,6,1,0.213,0,79.5
2976,387,0,0,5,0,0.087,1,51.1
2976,387,1,0,3,0,0.109,1,53.5
2976,387,2,0,4,0,0.123,1,59
2976,387,3,0,3,0,0.233,1,71.1
2979,76,0,1,5,1,0.006,1,43.5
2979,115,1,1,4,1,0.137,1,52.7
2979,115,2,1,5,1,0.168,1,55.9
2979,115,3,1,6,1,0.115,1,62.8
3020,714,0,1,3,1,0.028,1,60.8
3020,720,1,1,5,1,0.112,1,63.8
3020,720,2,1,6,1,0.119,1,67.9
3020,720,3,1,5,1,0.159,1,73.4
3047,212,0,0,5,0,0.003,1,62.3
3047,212,1,0,4,0,0.012,1,57.1
3047,212,2,0,5,0,0.025,1,66.7
3047,212,3,0,6,0,0.02,1,65
3077,1108,0,1,6,1,0.03,0,34.2
3077,1108,1,1,4,1,0.242,0,45.9
3077,1108,2,1,5,1,0.198,0,43.1
3077,1108,3,1,8,1,0.213,0,50.6
3108,387,0,1,5,0,0.087,1,26.6
3108,387,1,1,3,0,0.109,1,33
3108,387,2,1,4,0,0.176,1,34.2
3108,387,3,1,3,0,0.273,1,38.6
3122,963,0,1,5,0,0.155,0,33
3122,963,1,1,2,0,0.327,0,40.2
3122,963,2,1,5,0,0.41,0,49.5
3122,963,3,1,6,0,0.36,0,47
3126,258,0,1,5,0,0.003,1,57.5
3126,282,1,1,4,1,0.035,0,56.3
3126,282,2,1,4,1,0.06,0,76.3
3126,282,3,1,5,1,0.071,0,74.2
3142,1002,0,0,6,1,0.058,0,36.3
3142,1002,1,0,7,1,0.3,0,37.1
3142,1002,2,0,6,1,0.301,0,52.3
3142,1002,3,0,5,1,0.315,0,56.7
3146,704,0,1,5,0,0.006,0,49.4
3146,704,1,1,3,0,0.029,0,64.3
3146,704,2,1,7,0,0.047,0,71.8
3146,704,3,1,5,0,0.034,0,73.4
3208,276,0,0,6,0,0.003,1,47.2
3208,276,1,0,4,0,0.012,1,53.5
3208,276,2,0,4,0,0.025,1,56.2
3208,276,3,0,4,0,0.02,1,62.8
3291,99,0,1,6,0,0.003,1,51.1
3291,106,1,1,4,1,0.108,1,49.1
3291,106,2,1,5,1,0.073,1,64.6
3291,106,3,1,6,1,0.056,1,64.7
3306,101,0,0,6,0,0.004,1,57.5
3306,101,1,0,4,0,0.07,1,59.4
3306,101,2,0,5,0,0.066,1,64.6
3306,101,3,0,5,0,0.042,1,73.4
3323,147,0,1,4,1,0.002,1,56.7
3323,147,1,1,5,1,0.022,1,67.5
3323,147,2,1,5,1,0.016,1,64
3323,147,3,1,6,1,0.015,1,75.1
3346,212,0,0,3,0,0.003,1,67.8
3346,212,1,0,3,0,0.012,1,88.3
3346,212,2,0,6,0,0.025,1,83.2
3346,212,3,0,5,0,0.02,1,90.7
3385,124,0,0,6,1,0.003,0,47.5
3385,124,1,0,5,1,0.083,0,60.7
3385,124,2,0,4,1,0.116,0,63.1
